Tissue,SIDM,cell_line_name
Lymphoid,SIDM01076,697
Skin,SIDM00801,A101D
Lymphoid,SIDM00495,A3-KAW
Lymphoid,SIDM00900,ARH-77
Pancreas,SIDM00899,ASPC-1
Lymphoid,SIDM00287,BALL-1
Head_neck,SIDM00174,BB49-HNC
PNS,SIDM01229,BE2-M17
Breast,SIDM00963,BT-474
Lymphoid,SIDM00907,CA46
Breast,SIDM00933,CAL-51
CNS,SIDM00867,DBTRG-05MG
Lymphoid,SIDM00948,DG-75
Lung,SIDM00523,DMS-53
Esophagus,SIDM00278,EC-GI-10
Esophagus,SIDM00538,ESO51
Lung,SIDM00101,NCI-H2591
Head_neck,SIDM00589,HSC-3
Bone,SIDM00584,HUO-3N1
Skin,SIDM01060,IGR-1
Stomach,SIDM00602,IM-95
PNS,SIDM00395,SIMA
Ovary,SIDM00968,HEY
Skin,SIDM00795,A375
Lung,SIDM00903,A549
Skin,SIDM00890,C32
Breast,SIDM00332,MFM-223
Bone,SIDM00386,MHH-ES-1
Lung,SIDM00237,PC-14
Large_intestine,SIDM00841,SW620
Large_intestine,SIDM00781,SNU-C2B
Bone,SIDM01191,U-2-OS
Large_intestine,SIDM00789,HCT-15
Large_intestine,SIDM00136,HT-29
Kidney,SIDM00125,786-0
Lymphoid,SIDM00211,ALL-PO
Thyroid,SIDM00491,ASH-3
Lymphoid,SIDM00233,ATN-1
Head_neck,SIDM00077,BICR10
Head_neck,SIDM00937,CAL-27
CNS,SIDM00212,CAS-1
Bone,SIDM00176,CHSA8926
Lymphoid,SIDM00951,CTV-1
Lymphoid,SIDM01048,EJM
Ovary,SIDM00861,ES-2
Head_neck,SIDM00860,FADU
PNS,SIDM00544,GOTO
Lymphoid,SIDM01251,H9
Cervix,SIDM00846,HELA
Liver,SIDM00586,HUH-1
Bladder,SIDM00693,J82
Lymphoid,SIDM01020,KMS-12-BM
Large_intestine,SIDM00527,MDST8
Lung,SIDM01120,NCI-H720
Large_intestine,SIDM00214,SNU-407
Lymphoid,SIDM00808,JIYOYEP-2003
CNS,SIDM00982,42-MG-BA
Breast,SIDM00893,BT-20
Skin,SIDM00140,COLO-792
Breast,SIDM00882,HCC1419
Breast,SIDM00881,HCC1428
Breast,SIDM00874,HCC1937
Large_intestine,SIDM00118,HCC2998
Pancreas,SIDM00533,HUP-T3
Ovary,SIDM00151,IGROV-1
Endometrium,SIDM00686,KLE
Lymphoid,SIDM00553,KY821
Esophagus,SIDM01031,KYSE-150
Breast,SIDM00148,MCF7
Large_intestine,SIDM00498,SNU-C5
Kidney,SIDM00856,G-401
Soft_tissue,SIDM00828,HT-1080
Head_neck,SIDM00350,SAT
Large_intestine,SIDM00826,COLO-205
Prostate,SIDM00964,BPH-1
PNS,SIDM00910,CHP-212
Lung,SIDM00512,COR-L23
Bone,SIDM00264,ES4
Breast,SIDM00872,HCC1954
Lung,SIDM00134,HOP-92
Lung,SIDM00300,LC-1-SQ
Large_intestine,SIDM00660,LS-411N
PNS,SIDM00579,NBTU1-10
Lung,SIDM00646,NCI-H1341
Large_intestine,SIDM00778,NCI-H747
Lymphoid,SIDM00463,P12-ICHIKAWA
CNS,SIDM00799,A172
Bone,SIDM00961,CADO-ES1
Large_intestine,SIDM00957,COLO-678
CNS,SIDM00887,DAOY
Lymphoid,SIDM00845,DAUDI
Lung,SIDM00486,EBC-1
Lymphoid,SIDM01047,EM-2
Breast,SIDM01042,EVSA-T
Soft_tissue,SIDM00855,G-402
Stomach,SIDM00290,HGC-27
PNS,SIDM01206,IMR-5
Liver,SIDM00618,JHH-1
Liver,SIDM00615,JHH-6
Lymphoid,SIDM01003,KE-37
Kidney,SIDM00609,KMRC-20
Esophagus,SIDM01032,KYSE-140
Stomach,SIDM00980,23132-87
CNS,SIDM00998,8-MG-BA
Kidney,SIDM00124,A498
Stomach,SIDM00850,AGS
Breast,SIDM00898,AU565
Breast,SIDM00940,CAL-120
Lymphoid,SIDM00949,DEL
Head_neck,SIDM00831,DETROIT562
Large_intestine,SIDM00049,DIFI
Breast,SIDM01002,EFM-192A
Large_intestine,SIDM00537,GP5D
Lung,SIDM00114,NCI-H513
Lymphoid,SIDM01016,JURKAT
CNS,SIDM00685,LN-18
Lung,SIDM00713,NCI-H2052
Thyroid,SIDM00992,B-CPAP
Bladder,SIDM00936,CAL-29
Lymphoid,SIDM00917,CESS
Lymphoid,SIDM01057,GDM-1
Lung,SIDM00103,NCI-H2373
Pancreas,SIDM00670,HPAC
Cervix,SIDM00679,HT-3
Lymphoid,SIDM00688,JSC-1
Lymphoid,SIDM01015,JURL-MK1
Large_intestine,SIDM00150,KM12
Kidney,SIDM00180,LB996-RCC
CNS,SIDM00684,LN-229
Lymphoid,SIDM00431,MOLT-16
Lung,SIDM00747,NCI-H1623
Stomach,SIDM01144,SNU-5
Cervix,SIDM00394,SISO
Lymphoid,SIDM00421,SUP-M2
Bladder,SIDM01160,SW780
Lymphoid,SIDM01205,TUR
Soft_tissue,SIDM01179,VA-ES-BJ
Skin,SIDM00975,WM278
Skin,SIDM00973,WM793B
Thyroid,SIDM00996,8505C
Head_neck,SIDM00796,A253
Cervix,SIDM00905,C-4-I
CNS,SIDM00581,GB-1
Lymphoid,SIDM01073,HC-1
Breast,SIDM00875,HCC1806
Stomach,SIDM00665,HS-746T
Skin,SIDM00695,HT-144
Bone,SIDM00599,HUO9
Lymphoid,SIDM01004,KCL-22
Esophagus,SIDM01030,KYSE-180
Lung,SIDM00769,NCI-H1838
Large_intestine,SIDM00216,SNU-175
Lung,SIDM00651,NCI-H1155
Lung,SIDM00762,NCI-H1944
Soft_tissue,SIDM01095,SJRH30
Lymphoid,SIDM00844,RAJI
Bladder,SIDM00807,5637
Kidney,SIDM00988,BFTC-909
Bone,SIDM00929,CAL-78
Breast,SIDM01001,DU-4475
Esophagus,SIDM00539,ESO26
Lung,SIDM00099,NCI-H2722
Breast,SIDM00774,HCC2157
Large_intestine,SIDM00541,HT55
Lymphoid,SIDM01036,JJN-3
Pancreas,SIDM00583,KP-1N
