node_name,symbol,A2058,A2780,A375,A427,CAOV3,ES2,HCT116,HT144,HT29,KPL1,LOVO,MDAMB436,NCIH1650,NCIH2122,NCIH23,NCIH460,NCIH520,OV90,RKO,RPMI7951,SKMEL30,SKMES1,SKOV3,SW620,SW837,T47D,UACC62,VCAP,ZR751,OVCAR3,UWB1289,PA1,OCUBM
AKT1,['AKT1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APAF1,['APAF1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC,['APC'],,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,
AXIN1,['AXIN1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,['Apoptosis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAD,['BAD'],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
BAK,['BAK'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAX,['BAX'],,,,,,,0.0,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
BCL2,['BCL2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL2L1,['BCL2L1'],,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
BCL2L11,['BCL2L11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL2_rna,['BCL2_rna'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,['BID'],,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRC5,['BIRC5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRC5_rna,['BIRC5_rna'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAF,['BRAF'],1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,
CASP3,['CASP3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP9,['CASP9'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
CCND1,['CCND1'],,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,
CDC25A,['CDC25A'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKN1A,"['CDKN1A', 'CDPF1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKN1B,['CDKN1B'],,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
CDKN2A,['CDKN2A'],,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,
CREB1,['CREB1'],1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTNNB1,['CTNNB1'],,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
CYCS,['CYCS'],,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
CyclinB_CDK1,"['CCNB1', 'CDK1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CyclinD_CDK4_6,"['CCND1', 'CDK4', 'CDK6']",,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,
CyclinE_CDK2,"['CCNE1', 'CDK2']",,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
DIABLO,['DIABLO'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2F,['E2F'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,['EGFR'],,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
ERBB2,['ERBB2'],,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
ERK_f,"['MAPK1', 'MAPK3']",,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FGFR,['FGFR'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS,['FOS'],1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOXO3,['FOXO3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
GSK3B,['GSK3B'],,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1R,['IGF1R'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS2,['IRS2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
JUN,['JUN'],1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
