,symbol,SIDM00797__TF,SIDM00210__TF,SIDM00795__TF,SIDM00810__TF,SIDM00919__TF,SIDM00861__TF,SIDM00783__TF,SIDM00695__TF,SIDM00136__TF,SIDM00147__TF,SIDM00839__TF,SIDM00629__TF,SIDM00745__TF,SIDM00702__TF,SIDM00138__TF,SIDM00144__TF,SIDM01130__TF,SIDM01141__TF,SIDM01090__TF,SIDM01087__TF,SIDM00392__TF,SIDM01103__TF,SIDM00079__TF,SIDM00841__TF,SIDM00833__TF,SIDM00097__TF,SIDM00107__TF,SIDM01077__TF,SIDM00314__TF,SIDM00105__TF,SIDM00815__TF,SIDM01140__TF,SIDM00241__TF,SIDM00797__mutations,SIDM00210__mutations,SIDM00795__mutations,SIDM00810__mutations,SIDM00919__mutations,SIDM00861__mutations,SIDM00783__mutations,SIDM00695__mutations,SIDM00136__mutations,SIDM00147__mutations,SIDM00839__mutations,SIDM00629__mutations,SIDM00745__mutations,SIDM00702__mutations,SIDM00138__mutations,SIDM00144__mutations,SIDM01130__mutations,SIDM01141__mutations,SIDM01090__mutations,SIDM01087__mutations,SIDM00392__mutations,SIDM01103__mutations,SIDM00079__mutations,SIDM00841__mutations,SIDM00833__mutations,SIDM00097__mutations,SIDM00107__mutations,SIDM01077__mutations,SIDM00314__mutations,SIDM00105__mutations,SIDM00815__mutations,SIDM01140__mutations,SIDM00241__mutations,SIDM00797__cnv,SIDM00210__cnv,SIDM00795__cnv,SIDM00810__cnv,SIDM00919__cnv,SIDM00861__cnv,SIDM00783__cnv,SIDM00695__cnv,SIDM00136__cnv,SIDM00147__cnv,SIDM00839__cnv,SIDM00629__cnv,SIDM00745__cnv,SIDM00702__cnv,SIDM00138__cnv,SIDM00144__cnv,SIDM01130__cnv,SIDM01141__cnv,SIDM01090__cnv,SIDM01087__cnv,SIDM00392__cnv,SIDM01103__cnv,SIDM00079__cnv,SIDM00841__cnv,SIDM00833__cnv,SIDM00097__cnv,SIDM00107__cnv,SIDM01077__cnv,SIDM00314__cnv,SIDM00105__cnv,SIDM00815__cnv,SIDM01140__cnv,SIDM00241__cnv
AKT1,['AKT1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APAF1,['APAF1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC,['APC'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXIN1,['AXIN1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,['Apoptosis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAD,['BAD'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
BAK,['BAK'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAX,['BAX'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
BCL2,['BCL2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL2L1,['BCL2L1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
BCL2L11,['BCL2L11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
